gender,province,education,income_family,n
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",21
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","$125,000 and more",38
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",51
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",32
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",29
Female,Saskatchewan,"Technical, community college, CEGEP, College Classique","Less than $25,000",22
Male,Alberta,Above bachelor,"$100,000 to $ 124,999",7
Male,Alberta,Above bachelor,"$125,000 and more",36
Male,Alberta,Above bachelor,"$25,000 to $49,999",7
Male,Alberta,Above bachelor,"$50,000 to $74,999",11
Male,Alberta,Above bachelor,"$75,000 to $99,999",10
Male,Alberta,Above bachelor,"Less than $25,000",5
Male,Alberta,Bachelor's degree,"$100,000 to $ 124,999",14
Male,Alberta,Bachelor's degree,"$125,000 and more",54
Male,Alberta,Bachelor's degree,"$25,000 to $49,999",15
Male,Alberta,Bachelor's degree,"$50,000 to $74,999",22
Male,Alberta,Bachelor's degree,"$75,000 to $99,999",27
Male,Alberta,Bachelor's degree,"Less than $25,000",8
Male,Alberta,Below bachelor,"$100,000 to $ 124,999",4
Male,Alberta,Below bachelor,"$125,000 and more",4
Male,Alberta,Below bachelor,"$25,000 to $49,999",3
Male,Alberta,Below bachelor,"$50,000 to $74,999",5
Male,Alberta,Below bachelor,"$75,000 to $99,999",8
Male,Alberta,Below bachelor,"Less than $25,000",2
Male,Alberta,Below high school,"$100,000 to $ 124,999",9
Male,Alberta,Below high school,"$125,000 and more",12
Male,Alberta,Below high school,"$25,000 to $49,999",29
Male,Alberta,Below high school,"$50,000 to $74,999",20
Male,Alberta,Below high school,"$75,000 to $99,999",5
Male,Alberta,Below high school,"Less than $25,000",21
Male,Alberta,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",21
Male,Alberta,High school diploma or a high school equivalency certificate,"$125,000 and more",64
Male,Alberta,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",27
Male,Alberta,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",40
Male,Alberta,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",28
Male,Alberta,High school diploma or a high school equivalency certificate,"Less than $25,000",24
Male,Alberta,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",31
Male,Alberta,"Technical, community college, CEGEP, College Classique","$125,000 and more",91
Male,Alberta,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",35
Male,Alberta,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",49
Male,Alberta,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",35
Male,Alberta,"Technical, community college, CEGEP, College Classique","Less than $25,000",17
Male,British Columbia,Above bachelor,"$100,000 to $ 124,999",16
Male,British Columbia,Above bachelor,"$125,000 and more",53
Male,British Columbia,Above bachelor,"$25,000 to $49,999",12
Male,British Columbia,Above bachelor,"$50,000 to $74,999",7
Male,British Columbia,Above bachelor,"$75,000 to $99,999",14
Male,British Columbia,Above bachelor,"Less than $25,000",9
Male,British Columbia,Bachelor's degree,"$100,000 to $ 124,999",29
Male,British Columbia,Bachelor's degree,"$125,000 and more",80
Male,British Columbia,Bachelor's degree,"$25,000 to $49,999",34
Male,British Columbia,Bachelor's degree,"$50,000 to $74,999",40
Male,British Columbia,Bachelor's degree,"$75,000 to $99,999",36
Male,British Columbia,Bachelor's degree,"Less than $25,000",13
Male,British Columbia,Below bachelor,"$100,000 to $ 124,999",5
Male,British Columbia,Below bachelor,"$125,000 and more",18
Male,British Columbia,Below bachelor,"$25,000 to $49,999",6
Male,British Columbia,Below bachelor,"$50,000 to $74,999",11
Male,British Columbia,Below bachelor,"$75,000 to $99,999",10
Male,British Columbia,Below bachelor,"Less than $25,000",4
Male,British Columbia,Below high school,"$100,000 to $ 124,999",8
Male,British Columbia,Below high school,"$125,000 and more",23
Male,British Columbia,Below high school,"$25,000 to $49,999",42
Male,British Columbia,Below high school,"$50,000 to $74,999",17
Male,British Columbia,Below high school,"$75,000 to $99,999",17
Male,British Columbia,Below high school,"Less than $25,000",33
Male,British Columbia,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",38
Male,British Columbia,High school diploma or a high school equivalency certificate,"$125,000 and more",54
Male,British Columbia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",56
Male,British Columbia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",62
Male,British Columbia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",40
Male,British Columbia,High school diploma or a high school equivalency certificate,"Less than $25,000",52
Male,British Columbia,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",49
Male,British Columbia,"Technical, community college, CEGEP, College Classique","$125,000 and more",72
Male,British Columbia,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",49
Male,British Columbia,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",59
Male,British Columbia,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",45
Male,British Columbia,"Technical, community college, CEGEP, College Classique","Less than $25,000",38
Male,Manitoba,Above bachelor,"$100,000 to $ 124,999",4
Male,Manitoba,Above bachelor,"$125,000 and more",10
Male,Manitoba,Above bachelor,"$25,000 to $49,999",3
Male,Manitoba,Above bachelor,"$50,000 to $74,999",6
Male,Manitoba,Above bachelor,"$75,000 to $99,999",7
Male,Manitoba,Above bachelor,"Less than $25,000",1
Male,Manitoba,Bachelor's degree,"$100,000 to $ 124,999",9
Male,Manitoba,Bachelor's degree,"$125,000 and more",35
Male,Manitoba,Bachelor's degree,"$25,000 to $49,999",12
Male,Manitoba,Bachelor's degree,"$50,000 to $74,999",22
Male,Manitoba,Bachelor's degree,"$75,000 to $99,999",7
Male,Manitoba,Bachelor's degree,"Less than $25,000",2
Male,Manitoba,Below bachelor,"$100,000 to $ 124,999",3
Male,Manitoba,Below bachelor,"$125,000 and more",8
Male,Manitoba,Below bachelor,"$25,000 to $49,999",6
Male,Manitoba,Below bachelor,"$50,000 to $74,999",7
Male,Manitoba,Below bachelor,"$75,000 to $99,999",6
Male,Manitoba,Below bachelor,"Less than $25,000",1
Male,Manitoba,Below high school,"$100,000 to $ 124,999",11
Male,Manitoba,Below high school,"$125,000 and more",9
Male,Manitoba,Below high school,"$25,000 to $49,999",35
Male,Manitoba,Below high school,"$50,000 to $74,999",19
Male,Manitoba,Below high school,"$75,000 to $99,999",5
Male,Manitoba,Below high school,"Less than $25,000",31
Male,Manitoba,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",18
Male,Manitoba,High school diploma or a high school equivalency certificate,"$125,000 and more",27
Male,Manitoba,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",29
Male,Manitoba,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",27
Male,Manitoba,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",30
Male,Manitoba,High school diploma or a high school equivalency certificate,"Less than $25,000",23
Male,Manitoba,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",15
Male,Manitoba,"Technical, community college, CEGEP, College Classique","$125,000 and more",27
Male,Manitoba,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",27
Male,Manitoba,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",31
Male,Manitoba,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",25
Male,Manitoba,"Technical, community college, CEGEP, College Classique","Less than $25,000",6
Male,New Brunswick,Above bachelor,"$100,000 to $ 124,999",5
Male,New Brunswick,Above bachelor,"$125,000 and more",22
Male,New Brunswick,Above bachelor,"$25,000 to $49,999",7
Male,New Brunswick,Above bachelor,"$50,000 to $74,999",4
Male,New Brunswick,Above bachelor,"$75,000 to $99,999",7
Male,New Brunswick,Above bachelor,"Less than $25,000",2
Male,New Brunswick,Bachelor's degree,"$100,000 to $ 124,999",7
Male,New Brunswick,Bachelor's degree,"$125,000 and more",34
Male,New Brunswick,Bachelor's degree,"$25,000 to $49,999",11
Male,New Brunswick,Bachelor's degree,"$50,000 to $74,999",18
Male,New Brunswick,Bachelor's degree,"$75,000 to $99,999",10
Male,New Brunswick,Bachelor's degree,"Less than $25,000",5
Male,New Brunswick,Below bachelor,"$100,000 to $ 124,999",1
Male,New Brunswick,Below bachelor,"$125,000 and more",3
Male,New Brunswick,Below bachelor,"$25,000 to $49,999",1
Male,New Brunswick,Below bachelor,"$50,000 to $74,999",5
Male,New Brunswick,Below bachelor,"$75,000 to $99,999",1
Male,New Brunswick,Below high school,"$100,000 to $ 124,999",7
Male,New Brunswick,Below high school,"$125,000 and more",8
Male,New Brunswick,Below high school,"$25,000 to $49,999",40
Male,New Brunswick,Below high school,"$50,000 to $74,999",20
Male,New Brunswick,Below high school,"$75,000 to $99,999",7
Male,New Brunswick,Below high school,"Less than $25,000",28
Male,New Brunswick,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",8
Male,New Brunswick,High school diploma or a high school equivalency certificate,"$125,000 and more",19
Male,New Brunswick,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",32
Male,New Brunswick,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",35
Male,New Brunswick,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",22
Male,New Brunswick,High school diploma or a high school equivalency certificate,"Less than $25,000",28
Male,New Brunswick,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",16
Male,New Brunswick,"Technical, community college, CEGEP, College Classique","$125,000 and more",28
Male,New Brunswick,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",38
Male,New Brunswick,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",39
Male,New Brunswick,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",38
Male,New Brunswick,"Technical, community college, CEGEP, College Classique","Less than $25,000",20
Male,Newfoundland and Labrador,Above bachelor,"$100,000 to $ 124,999",5
Male,Newfoundland and Labrador,Above bachelor,"$125,000 and more",14
Male,Newfoundland and Labrador,Above bachelor,"$25,000 to $49,999",2
Male,Newfoundland and Labrador,Above bachelor,"$50,000 to $74,999",3
Male,Newfoundland and Labrador,Above bachelor,"$75,000 to $99,999",3
Male,Newfoundland and Labrador,Bachelor's degree,"$100,000 to $ 124,999",8
Male,Newfoundland and Labrador,Bachelor's degree,"$125,000 and more",29
Male,Newfoundland and Labrador,Bachelor's degree,"$25,000 to $49,999",5
Male,Newfoundland and Labrador,Bachelor's degree,"$50,000 to $74,999",11
Male,Newfoundland and Labrador,Bachelor's degree,"$75,000 to $99,999",8
Male,Newfoundland and Labrador,Bachelor's degree,"Less than $25,000",3
Male,Newfoundland and Labrador,Below bachelor,"$100,000 to $ 124,999",3
Male,Newfoundland and Labrador,Below bachelor,"$125,000 and more",6
Male,Newfoundland and Labrador,Below bachelor,"$25,000 to $49,999",4
Male,Newfoundland and Labrador,Below bachelor,"$50,000 to $74,999",3
Male,Newfoundland and Labrador,Below bachelor,"$75,000 to $99,999",2
Male,Newfoundland and Labrador,Below high school,"$100,000 to $ 124,999",5
Male,Newfoundland and Labrador,Below high school,"$125,000 and more",14
Male,Newfoundland and Labrador,Below high school,"$25,000 to $49,999",34
Male,Newfoundland and Labrador,Below high school,"$50,000 to $74,999",16
Male,Newfoundland and Labrador,Below high school,"$75,000 to $99,999",12
Male,Newfoundland and Labrador,Below high school,"Less than $25,000",26
Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",12
Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$125,000 and more",21
Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",23
Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",21
Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",19
Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"Less than $25,000",7
Male,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",22
Male,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","$125,000 and more",45
Male,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",22
Male,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",26
Male,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",31
Male,Newfoundland and Labrador,"Technical, community college, CEGEP, College Classique","Less than $25,000",9
Male,Nova Scotia,Above bachelor,"$100,000 to $ 124,999",6
Male,Nova Scotia,Above bachelor,"$125,000 and more",26
Male,Nova Scotia,Above bachelor,"$25,000 to $49,999",5
Male,Nova Scotia,Above bachelor,"$50,000 to $74,999",6
Male,Nova Scotia,Above bachelor,"$75,000 to $99,999",12
Male,Nova Scotia,Above bachelor,"Less than $25,000",2
Male,Nova Scotia,Bachelor's degree,"$100,000 to $ 124,999",19
Male,Nova Scotia,Bachelor's degree,"$125,000 and more",39
Male,Nova Scotia,Bachelor's degree,"$25,000 to $49,999",22
Male,Nova Scotia,Bachelor's degree,"$50,000 to $74,999",18
Male,Nova Scotia,Bachelor's degree,"$75,000 to $99,999",20
Male,Nova Scotia,Bachelor's degree,"Less than $25,000",9
Male,Nova Scotia,Below bachelor,"$100,000 to $ 124,999",2
Male,Nova Scotia,Below bachelor,"$125,000 and more",2
Male,Nova Scotia,Below bachelor,"$25,000 to $49,999",3
Male,Nova Scotia,Below bachelor,"$50,000 to $74,999",4
Male,Nova Scotia,Below high school,"$100,000 to $ 124,999",3
Male,Nova Scotia,Below high school,"$125,000 and more",10
Male,Nova Scotia,Below high school,"$25,000 to $49,999",47
Male,Nova Scotia,Below high school,"$50,000 to $74,999",20
Male,Nova Scotia,Below high school,"$75,000 to $99,999",12
Male,Nova Scotia,Below high school,"Less than $25,000",24
Male,Nova Scotia,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",23
Male,Nova Scotia,High school diploma or a high school equivalency certificate,"$125,000 and more",20
Male,Nova Scotia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",36
Male,Nova Scotia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",34
Male,Nova Scotia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",26
Male,Nova Scotia,High school diploma or a high school equivalency certificate,"Less than $25,000",27
Male,Nova Scotia,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",20
Male,Nova Scotia,"Technical, community college, CEGEP, College Classique","$125,000 and more",29
Male,Nova Scotia,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",42
Male,Nova Scotia,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",41
Male,Nova Scotia,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",37
Male,Nova Scotia,"Technical, community college, CEGEP, College Classique","Less than $25,000",10
Male,Ontario,Above bachelor,"$100,000 to $ 124,999",46
Male,Ontario,Above bachelor,"$125,000 and more",135
Male,Ontario,Above bachelor,"$25,000 to $49,999",31
Male,Ontario,Above bachelor,"$50,000 to $74,999",41
Male,Ontario,Above bachelor,"$75,000 to $99,999",40
Male,Ontario,Above bachelor,"Less than $25,000",20
Male,Ontario,Bachelor's degree,"$100,000 to $ 124,999",64
Male,Ontario,Bachelor's degree,"$125,000 and more",197
Male,Ontario,Bachelor's degree,"$25,000 to $49,999",58
Male,Ontario,Bachelor's degree,"$50,000 to $74,999",71
Male,Ontario,Bachelor's degree,"$75,000 to $99,999",85
Male,Ontario,Bachelor's degree,"Less than $25,000",36
Male,Ontario,Below bachelor,"$100,000 to $ 124,999",9
Male,Ontario,Below bachelor,"$125,000 and more",29
Male,Ontario,Below bachelor,"$25,000 to $49,999",10
Male,Ontario,Below bachelor,"$50,000 to $74,999",12
Male,Ontario,Below bachelor,"$75,000 to $99,999",5
Male,Ontario,Below bachelor,"Less than $25,000",4
Male,Ontario,Below high school,"$100,000 to $ 124,999",25
Male,Ontario,Below high school,"$125,000 and more",59
Male,Ontario,Below high school,"$25,000 to $49,999",74
Male,Ontario,Below high school,"$50,000 to $74,999",71
Male,Ontario,Below high school,"$75,000 to $99,999",26
Male,Ontario,Below high school,"Less than $25,000",50
Male,Ontario,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",73
Male,Ontario,High school diploma or a high school equivalency certificate,"$125,000 and more",131
Male,Ontario,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",116
Male,Ontario,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",119
Male,Ontario,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",84
Male,Ontario,High school diploma or a high school equivalency certificate,"Less than $25,000",92
Male,Ontario,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",96
Male,Ontario,"Technical, community college, CEGEP, College Classique","$125,000 and more",155
Male,Ontario,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",112
Male,Ontario,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",133
Male,Ontario,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",117
Male,Ontario,"Technical, community college, CEGEP, College Classique","Less than $25,000",63
Male,Prince Edward Island,Above bachelor,"$100,000 to $ 124,999",2
Male,Prince Edward Island,Above bachelor,"$125,000 and more",11
Male,Prince Edward Island,Above bachelor,"$25,000 to $49,999",4
Male,Prince Edward Island,Above bachelor,"$50,000 to $74,999",3
Male,Prince Edward Island,Above bachelor,"$75,000 to $99,999",3
Male,Prince Edward Island,Above bachelor,"Less than $25,000",1
Male,Prince Edward Island,Bachelor's degree,"$100,000 to $ 124,999",8
Male,Prince Edward Island,Bachelor's degree,"$125,000 and more",8
Male,Prince Edward Island,Bachelor's degree,"$25,000 to $49,999",8
Male,Prince Edward Island,Bachelor's degree,"$50,000 to $74,999",7
Male,Prince Edward Island,Bachelor's degree,"$75,000 to $99,999",9
Male,Prince Edward Island,Bachelor's degree,"Less than $25,000",2
Male,Prince Edward Island,Below bachelor,"$100,000 to $ 124,999",1
Male,Prince Edward Island,Below bachelor,"$25,000 to $49,999",1
Male,Prince Edward Island,Below bachelor,"$50,000 to $74,999",1
Male,Prince Edward Island,Below bachelor,"$75,000 to $99,999",3
Male,Prince Edward Island,Below high school,"$100,000 to $ 124,999",3
Male,Prince Edward Island,Below high school,"$125,000 and more",8
Male,Prince Edward Island,Below high school,"$25,000 to $49,999",18
Male,Prince Edward Island,Below high school,"$50,000 to $74,999",10
Male,Prince Edward Island,Below high school,"$75,000 to $99,999",8
Male,Prince Edward Island,Below high school,"Less than $25,000",9
Male,Prince Edward Island,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",15
Male,Prince Edward Island,High school diploma or a high school equivalency certificate,"$125,000 and more",18
Male,Prince Edward Island,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",13
Male,Prince Edward Island,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",14
Male,Prince Edward Island,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",10
Male,Prince Edward Island,High school diploma or a high school equivalency certificate,"Less than $25,000",7
Male,Prince Edward Island,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",11
Male,Prince Edward Island,"Technical, community college, CEGEP, College Classique","$125,000 and more",10
Male,Prince Edward Island,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",18
Male,Prince Edward Island,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",22
Male,Prince Edward Island,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",11
Male,Prince Edward Island,"Technical, community college, CEGEP, College Classique","Less than $25,000",10
Male,Quebec,Above bachelor,"$100,000 to $ 124,999",20
Male,Quebec,Above bachelor,"$125,000 and more",62
Male,Quebec,Above bachelor,"$25,000 to $49,999",19
Male,Quebec,Above bachelor,"$50,000 to $74,999",22
Male,Quebec,Above bachelor,"$75,000 to $99,999",23
Male,Quebec,Above bachelor,"Less than $25,000",16
Male,Quebec,Bachelor's degree,"$100,000 to $ 124,999",33
Male,Quebec,Bachelor's degree,"$125,000 and more",75
Male,Quebec,Bachelor's degree,"$25,000 to $49,999",44
Male,Quebec,Bachelor's degree,"$50,000 to $74,999",57
Male,Quebec,Bachelor's degree,"$75,000 to $99,999",53
Male,Quebec,Bachelor's degree,"Less than $25,000",25
Male,Quebec,Below bachelor,"$100,000 to $ 124,999",8
Male,Quebec,Below bachelor,"$125,000 and more",11
Male,Quebec,Below bachelor,"$25,000 to $49,999",9
Male,Quebec,Below bachelor,"$50,000 to $74,999",10
Male,Quebec,Below bachelor,"$75,000 to $99,999",5
Male,Quebec,Below bachelor,"Less than $25,000",4
Male,Quebec,Below high school,"$100,000 to $ 124,999",22
Male,Quebec,Below high school,"$125,000 and more",25
Male,Quebec,Below high school,"$25,000 to $49,999",134
Male,Quebec,Below high school,"$50,000 to $74,999",57
Male,Quebec,Below high school,"$75,000 to $99,999",22
Male,Quebec,Below high school,"Less than $25,000",72
Male,Quebec,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",33
Male,Quebec,High school diploma or a high school equivalency certificate,"$125,000 and more",60
Male,Quebec,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",86
Male,Quebec,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",79
Male,Quebec,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",50
Male,Quebec,High school diploma or a high school equivalency certificate,"Less than $25,000",49
Male,Quebec,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",66
Male,Quebec,"Technical, community college, CEGEP, College Classique","$125,000 and more",108
Male,Quebec,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",106
Male,Quebec,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",99
Male,Quebec,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",91
Male,Quebec,"Technical, community college, CEGEP, College Classique","Less than $25,000",66
Male,Saskatchewan,Above bachelor,"$100,000 to $ 124,999",2
Male,Saskatchewan,Above bachelor,"$125,000 and more",16
Male,Saskatchewan,Above bachelor,"$25,000 to $49,999",5
Male,Saskatchewan,Above bachelor,"$50,000 to $74,999",3
Male,Saskatchewan,Above bachelor,"$75,000 to $99,999",2
Male,Saskatchewan,Above bachelor,"Less than $25,000",4
Male,Saskatchewan,Bachelor's degree,"$100,000 to $ 124,999",10
Male,Saskatchewan,Bachelor's degree,"$125,000 and more",26
Male,Saskatchewan,Bachelor's degree,"$25,000 to $49,999",7
Male,Saskatchewan,Bachelor's degree,"$50,000 to $74,999",14
Male,Saskatchewan,Bachelor's degree,"$75,000 to $99,999",12
Male,Saskatchewan,Bachelor's degree,"Less than $25,000",6
Male,Saskatchewan,Below bachelor,"$100,000 to $ 124,999",2
Male,Saskatchewan,Below bachelor,"$125,000 and more",3
Male,Saskatchewan,Below bachelor,"$25,000 to $49,999",2
Male,Saskatchewan,Below bachelor,"$50,000 to $74,999",3
Male,Saskatchewan,Below bachelor,"$75,000 to $99,999",7
Male,Saskatchewan,Below high school,"$100,000 to $ 124,999",10
Male,Saskatchewan,Below high school,"$125,000 and more",19
Male,Saskatchewan,Below high school,"$25,000 to $49,999",15
Male,Saskatchewan,Below high school,"$50,000 to $74,999",18
Male,Saskatchewan,Below high school,"$75,000 to $99,999",11
Male,Saskatchewan,Below high school,"Less than $25,000",19
Male,Saskatchewan,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",30
Male,Saskatchewan,High school diploma or a high school equivalency certificate,"$125,000 and more",36
Male,Saskatchewan,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",35
Male,Saskatchewan,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",29
Male,Saskatchewan,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",23
Male,Saskatchewan,High school diploma or a high school equivalency certificate,"Less than $25,000",27
Male,Saskatchewan,"Technical, community college, CEGEP, College Classique","$100,000 to $ 124,999",29
Male,Saskatchewan,"Technical, community college, CEGEP, College Classique","$125,000 and more",45
Male,Saskatchewan,"Technical, community college, CEGEP, College Classique","$25,000 to $49,999",32
Male,Saskatchewan,"Technical, community college, CEGEP, College Classique","$50,000 to $74,999",18
Male,Saskatchewan,"Technical, community college, CEGEP, College Classique","$75,000 to $99,999",15
Male,Saskatchewan,"Technical, community college, CEGEP, College Classique","Less than $25,000",10
